time,Setpoint,Continuous_Plant,Control_Signal
1.035,1,0,0
1.04,1,0,0
1.045,1,0,0
1.05,1,0,0
1.055,1,0,0
1.06,1,0,0
1.065,1,0,0
1.07,1,0,0
1.075,1,0,0
1.08,1,0,0
1.085,1,0,0
1.09,1,0,0
1.095,1,0,0
1.1,1,0,0
1.105,1,0,1
1.11,1,0,1
1.115,1,0,1
1.12,1,0,1
1.125,1,0,1
1.13,1,0,1
1.135,1,0,1
1.14,1,0,1
1.145,1,0,1
1.15,1,0,1
1.155,1,0,1
1.16,1,0,1
1.165,1,0,1
1.17,1,0,1
1.175,1,0,1
1.18,1,0,1
1.185,1,0,1
1.19,1,0,1
1.195,1,0,1
1.2,1,0,1
1.205,1,1.25e-05,1
1.21,1,4.15313e-05,1
1.215,1,9.95208e-05,1
1.22,1,0.000182156,1
1.225,1,0.000289313,1
1.23,1,0.000420865,1
1.235,1,0.000576688,1
1.24,1,0.000756657,1
1.245,1,0.000960647,1
1.25,1,0.00118853,1
1.255,1,0.00144019,1
1.26,1,0.0017155,1
1.265,1,0.00201432,1
1.27,1,0.00233654,1
1.275,1,0.00268204,1
1.28,1,0.00305068,1
1.285,1,0.00344235,1
1.29,1,0.00385691,1
1.295,1,0.00429425,1
1.3,1,0.00475423,1
1.305,1,0.00523675,0.995246
1.31,1,0.00574166,0.995246
1.315,1,0.00626885,0.995246
1.32,1,0.00681819,0.995246
1.325,1,0.00738955,0.995246
1.33,1,0.00798282,0.995246
1.335,1,0.00859787,0.995246
1.34,1,0.00923458,0.995246
1.345,1,0.00989282,0.995246
1.35,1,0.0105725,0.995246
1.355,1,0.0112734,0.995246
1.36,1,0.0119955,0.995246
1.365,1,0.0127386,0.995246
1.37,1,0.0135027,0.995246
1.375,1,0.0142875,0.995246
1.38,1,0.015093,0.995246
1.385,1,0.015919,0.995246
1.39,1,0.0167655,0.995246
1.395,1,0.0176322,0.995246
1.4,1,0.0185192,0.995246
1.405,1,0.0194261,0.981481
1.41,1,0.0203529,0.981481
1.415,1,0.0212993,0.981481
1.42,1,0.0222654,0.981481
1.425,1,0.0232508,0.981481
1.43,1,0.0242556,0.981481
1.435,1,0.0252796,0.981481
1.44,1,0.0263227,0.981481
1.445,1,0.0273847,0.981481
1.45,1,0.0284656,0.981481
1.455,1,0.0295651,0.981481
1.46,1,0.0306833,0.981481
1.465,1,0.03182,0.981481
1.47,1,0.032975,0.981481
1.475,1,0.0341483,0.981481
1.48,1,0.0353396,0.981481
1.485,1,0.036549,0.981481
1.49,1,0.0377762,0.981481
1.495,1,0.0390212,0.981481
1.5,1,0.0402839,0.981481
1.505,1,0.0415638,0.959716
1.51,1,0.042861,0.959716
1.515,1,0.044175,0.959716
1.52,1,0.0455059,0.959716
1.525,1,0.0468534,0.959716
1.53,1,0.0482176,0.959716
1.535,1,0.0495982,0.959716
1.54,1,0.0509951,0.959716
1.545,1,0.0524083,0.959716
1.55,1,0.0538376,0.959716
1.555,1,0.055283,0.959716
1.56,1,0.0567442,0.959716
1.565,1,0.0582212,0.959716
1.57,1,0.0597138,0.959716
1.575,1,0.061222,0.959716
1.58,1,0.0627456,0.959716
1.585,1,0.0642845,0.959716
1.59,1,0.0658386,0.959716
1.595,1,0.0674078,0.959716
1.6,1,0.068992,0.959716
1.605,1,0.0705908,0.931008
1.61,1,0.0722039,0.931008
1.615,1,0.073831,0.931008
1.62,1,0.0754721,0.931008
1.625,1,0.0771271,0.931008
1.63,1,0.0787958,0.931008
1.635,1,0.0804782,0.931008
1.64,1,0.0821741,0.931008
1.645,1,0.0838834,0.931008
1.65,1,0.0856061,0.931008
1.655,1,0.0873419,0.931008
1.66,1,0.0890909,0.931008
1.665,1,0.0908528,0.931008
1.67,1,0.0926277,0.931008
1.675,1,0.0944153,0.931008
1.68,1,0.0962155,0.931008
1.685,1,0.0980283,0.931008
1.69,1,0.0998536,0.931008
1.695,1,0.101691,0.931008
1.7,1,0.103541,0.931008
1.705,1,0.105403,0.896459
1.71,1,0.107276,0.896459
1.715,1,0.10916,0.896459
1.72,1,0.111055,0.896459
1.725,1,0.112962,0.896459
1.73,1,0.114879,0.896459
1.735,1,0.116807,0.896459
1.74,1,0.118745,0.896459
1.745,1,0.120695,0.896459
1.75,1,0.122654,0.896459
1.755,1,0.124625,0.896459
1.76,1,0.126605,0.896459
1.765,1,0.128596,0.896459
1.77,1,0.130596,0.896459
1.775,1,0.132607,0.896459
1.78,1,0.134627,0.896459
1.785,1,0.136658,0.896459
1.79,1,0.138698,0.896459
1.795,1,0.140747,0.896459
1.8,1,0.142807,0.896459
1.805,1,0.144875,0.857193
1.81,1,0.146951,0.857193
1.815,1,0.149036,0.857193
1.82,1,0.151129,0.857193
1.825,1,0.153231,0.857193
1.83,1,0.15534,0.857193
1.835,1,0.157457,0.857193
1.84,1,0.159583,0.857193
1.845,1,0.161716,0.857193
1.85,1,0.163856,0.857193
1.855,1,0.166005,0.857193
1.86,1,0.16816,0.857193
1.865,1,0.170324,0.857193
1.87,1,0.172494,0.857193
1.875,1,0.174672,0.857193
1.88,1,0.176857,0.857193
1.885,1,0.179049,0.857193
1.89,1,0.181247,0.857193
1.895,1,0.183453,0.857193
1.9,1,0.185666,0.857193
1.905,1,0.187884,0.814334
1.91,1,0.190109,0.814334
1.915,1,0.192339,0.814334
1.92,1,0.194575,0.814334
1.925,1,0.196815,0.814334
1.93,1,0.199062,0.814334
1.935,1,0.201313,0.814334
1.94,1,0.20357,0.814334
1.945,1,0.205831,0.814334
1.95,1,0.208098,0.814334
1.955,1,0.210369,0.814334
1.96,1,0.212645,0.814334
1.965,1,0.214926,0.814334
1.97,1,0.217212,0.814334
1.975,1,0.219502,0.814334
1.98,1,0.221796,0.814334
1.985,1,0.224095,0.814334
1.99,1,0.226399,0.814334
1.995,1,0.228706,0.814334
2,1,0.231018,0.814334
2.005,1,0.233333,0.768982
2.01,1,0.235652,0.768982
2.015,1,0.237973,0.768982
2.02,1,0.240297,0.768982
2.025,1,0.242624,0.768982
2.03,1,0.244953,0.768982
2.035,1,0.247285,0.768982
2.04,1,0.24962,0.768982
2.045,1,0.251957,0.768982
2.05,1,0.254296,0.768982
2.055,1,0.256638,0.768982
2.06,1,0.258982,0.768982
2.065,1,0.261328,0.768982
2.07,1,0.263676,0.768982
2.075,1,0.266026,0.768982
2.08,1,0.268378,0.768982
2.085,1,0.270732,0.768982
2.09,1,0.273088,0.768982
2.095,1,0.275445,0.768982
2.1,1,0.277805,0.768982
2.105,1,0.280165,0.722195
2.11,1,0.282526,0.722195
2.115,1,0.284887,0.722195
2.12,1,0.287249,0.722195
2.125,1,0.28961,0.722195
2.13,1,0.291972,0.722195
2.135,1,0.294334,0.722195
2.14,1,0.296696,0.722195
2.145,1,0.299059,0.722195
2.15,1,0.301421,0.722195
2.155,1,0.303783,0.722195
2.16,1,0.306144,0.722195
2.165,1,0.308506,0.722195
2.17,1,0.310867,0.722195
2.175,1,0.313228,0.722195
2.18,1,0.315588,0.722195
2.185,1,0.317948,0.722195
2.19,1,0.320308,0.722195
2.195,1,0.322667,0.722195
2.2,1,0.325025,0.722195
2.205,1,0.327382,0.674975
2.21,1,0.329737,0.674975
2.215,1,0.33209,0.674975
2.22,1,0.334442,0.674975
2.225,1,0.336791,0.674975
2.23,1,0.339138,0.674975
2.235,1,0.341483,0.674975
2.24,1,0.343826,0.674975
2.245,1,0.346166,0.674975
2.25,1,0.348505,0.674975
2.255,1,0.35084,0.674975
2.26,1,0.353174,0.674975
2.265,1,0.355505,0.674975
2.27,1,0.357833,0.674975
2.275,1,0.36016,0.674975
2.28,1,0.362483,0.674975
2.285,1,0.364804,0.674975
2.29,1,0.367122,0.674975
2.295,1,0.369437,0.674975
2.3,1,0.37175,0.674975
2.305,1,0.37406,0.62825
2.31,1,0.376365,0.62825
2.315,1,0.378667,0.62825
2.32,1,0.380964,0.62825
2.325,1,0.383257,0.62825
2.33,1,0.385546,0.62825
2.335,1,0.387831,0.62825
2.34,1,0.390112,0.62825
2.345,1,0.392388,0.62825
2.35,1,0.39466,0.62825
2.355,1,0.396928,0.62825
2.36,1,0.399192,0.62825
2.365,1,0.40145,0.62825
2.37,1,0.403705,0.62825
2.375,1,0.405955,0.62825
2.38,1,0.408201,0.62825
2.385,1,0.410441,0.62825
2.39,1,0.412678,0.62825
2.395,1,0.41491,0.62825
2.4,1,0.417137,0.62825
2.405,1,0.419359,0.582863
2.41,1,0.421575,0.582863
2.415,1,0.423785,0.582863
2.42,1,0.42599,0.582863
2.425,1,0.428188,0.582863
2.43,1,0.43038,0.582863
2.435,1,0.432567,0.582863
2.44,1,0.434747,0.582863
2.445,1,0.436922,0.582863
2.45,1,0.43909,0.582863
2.455,1,0.441252,0.582863
2.46,1,0.443408,0.582863
2.465,1,0.445558,0.582863
2.47,1,0.447702,0.582863
2.475,1,0.449839,0.582863
2.48,1,0.451971,0.582863
2.485,1,0.454096,0.582863
2.49,1,0.456215,0.582863
2.495,1,0.458327,0.582863
2.5,1,0.460434,0.582863
2.505,1,0.462533,0.539566
2.51,1,0.464625,0.539566
2.515,1,0.46671,0.539566
2.52,1,0.468787,0.539566
2.525,1,0.470857,0.539566
2.53,1,0.472919,0.539566
2.535,1,0.474973,0.539566
2.54,1,0.47702,0.539566
2.545,1,0.47906,0.539566
2.55,1,0.481092,0.539566
2.555,1,0.483116,0.539566
2.56,1,0.485133,0.539566
2.565,1,0.487142,0.539566
2.57,1,0.489143,0.539566
2.575,1,0.491137,0.539566
2.58,1,0.493123,0.539566
2.585,1,0.495101,0.539566
2.59,1,0.497072,0.539566
2.595,1,0.499035,0.539566
2.6,1,0.50099,0.539566
2.605,1,0.502937,0.49901
2.61,1,0.504876,0.49901
2.615,1,0.506806,0.49901
2.62,1,0.508727,0.49901
2.625,1,0.510639,0.49901
2.63,1,0.512542,0.49901
2.635,1,0.514436,0.49901
2.64,1,0.516322,0.49901
2.645,1,0.518199,0.49901
2.65,1,0.520067,0.49901
2.655,1,0.521926,0.49901
2.66,1,0.523776,0.49901
2.665,1,0.525617,0.49901
2.67,1,0.52745,0.49901
2.675,1,0.529274,0.49901
2.68,1,0.531089,0.49901
2.685,1,0.532895,0.49901
2.69,1,0.534692,0.49901
2.695,1,0.53648,0.49901
2.7,1,0.53826,0.49901
2.705,1,0.54003,0.46174
2.71,1,0.541791,0.46174
2.715,1,0.543542,0.46174
2.72,1,0.545282,0.46174
2.725,1,0.547013,0.46174
2.73,1,0.548735,0.46174
2.735,1,0.550446,0.46174
2.74,1,0.552147,0.46174
2.745,1,0.553839,0.46174
2.75,1,0.555521,0.46174
2.755,1,0.557193,0.46174
2.76,1,0.558856,0.46174
2.765,1,0.560508,0.46174
2.77,1,0.562151,0.46174
2.775,1,0.563784,0.46174
2.78,1,0.565407,0.46174
2.785,1,0.567021,0.46174
2.79,1,0.568624,0.46174
2.795,1,0.570218,0.46174
2.8,1,0.571803,0.46174
2.805,1,0.573377,0.428197
2.81,1,0.574941,0.428197
2.815,1,0.576494,0.428197
2.82,1,0.578036,0.428197
2.825,1,0.579568,0.428197
2.83,1,0.581089,0.428197
2.835,1,0.5826,0.428197
2.84,1,0.5841,0.428197
2.845,1,0.585589,0.428197
2.85,1,0.587068,0.428197
2.855,1,0.588537,0.428197
2.86,1,0.589995,0.428197
2.865,1,0.591443,0.428197
2.87,1,0.59288,0.428197
2.875,1,0.594306,0.428197
2.88,1,0.595723,0.428197
2.885,1,0.597129,0.428197
2.89,1,0.598524,0.428197
2.895,1,0.599909,0.428197
2.9,1,0.601284,0.428197
2.905,1,0.602648,0.398716
2.91,1,0.604001,0.398716
2.915,1,0.605343,0.398716
2.92,1,0.606674,0.398716
2.925,1,0.607993,0.398716
2.93,1,0.609302,0.398716
2.935,1,0.6106,0.398716
2.94,1,0.611886,0.398716
2.945,1,0.613162,0.398716
2.95,1,0.614426,0.398716
2.955,1,0.61568,0.398716
2.96,1,0.616922,0.398716
2.965,1,0.618154,0.398716
2.97,1,0.619375,0.398716
2.975,1,0.620585,0.398716
2.98,1,0.621784,0.398716
2.985,1,0.622973,0.398716
2.99,1,0.62415,0.398716
2.995,1,0.625317,0.398716
3,1,0.626473,0.398716
3.005,1,0.627618,0.373527
3.01,1,0.628752,0.373527
3.015,1,0.629875,0.373527
3.02,1,0.630986,0.373527
3.025,1,0.632085,0.373527
3.03,1,0.633174,0.373527
3.035,1,0.634251,0.373527
3.04,1,0.635317,0.373527
3.045,1,0.636371,0.373527
3.05,1,0.637415,0.373527
3.055,1,0.638447,0.373527
3.06,1,0.639468,0.373527
3.065,1,0.640478,0.373527
3.07,1,0.641477,0.373527
3.075,1,0.642465,0.373527
3.08,1,0.643442,0.373527
3.085,1,0.644408,0.373527
3.09,1,0.645363,0.373527
3.095,1,0.646307,0.373527
3.1,1,0.64724,0.373527
3.105,1,0.648162,0.35276
3.11,1,0.649073,0.35276
3.115,1,0.649973,0.35276
3.12,1,0.650861,0.35276
3.125,1,0.651737,0.35276
3.13,1,0.652602,0.35276
3.135,1,0.653456,0.35276
3.14,1,0.654299,0.35276
3.145,1,0.655131,0.35276
3.15,1,0.655951,0.35276
3.155,1,0.65676,0.35276
3.16,1,0.657558,0.35276
3.165,1,0.658346,0.35276
3.17,1,0.659122,0.35276
3.175,1,0.659887,0.35276
3.18,1,0.660641,0.35276
3.185,1,0.661384,0.35276
3.19,1,0.662116,0.35276
3.195,1,0.662838,0.35276
3.2,1,0.663548,0.35276
3.205,1,0.664248,0.336452
3.21,1,0.664936,0.336452
3.215,1,0.665614,0.336452
3.22,1,0.66628,0.336452
3.225,1,0.666935,0.336452
3.23,1,0.667578,0.336452
3.235,1,0.668211,0.336452
3.24,1,0.668833,0.336452
3.245,1,0.669444,0.336452
3.25,1,0.670043,0.336452
3.255,1,0.670632,0.336452
3.26,1,0.67121,0.336452
3.265,1,0.671777,0.336452
3.27,1,0.672334,0.336452
3.275,1,0.672879,0.336452
3.28,1,0.673414,0.336452
3.285,1,0.673939,0.336452
3.29,1,0.674452,0.336452
3.295,1,0.674955,0.336452
3.3,1,0.675448,0.336452
3.305,1,0.67593,0.324552
3.31,1,0.676401,0.324552
3.315,1,0.676861,0.324552
3.32,1,0.677311,0.324552
3.325,1,0.677749,0.324552
3.33,1,0.678177,0.324552
3.335,1,0.678595,0.324552
3.34,1,0.679001,0.324552
3.345,1,0.679397,0.324552
3.35,1,0.679783,0.324552
3.355,1,0.680158,0.324552
3.36,1,0.680523,0.324552
3.365,1,0.680877,0.324552
3.37,1,0.681221,0.324552
3.375,1,0.681555,0.324552
3.38,1,0.681878,0.324552
3.385,1,0.682191,0.324552
3.39,1,0.682494,0.324552
3.395,1,0.682787,0.324552
3.4,1,0.683069,0.324552
3.405,1,0.683342,0.316931
3.41,1,0.683604,0.316931
3.415,1,0.683856,0.316931
3.42,1,0.684098,0.316931
3.425,1,0.68433,0.316931
3.43,1,0.684551,0.316931
3.435,1,0.684762,0.316931
3.44,1,0.684964,0.316931
3.445,1,0.685155,0.316931
3.45,1,0.685336,0.316931
3.455,1,0.685508,0.316931
3.46,1,0.68567,0.316931
3.465,1,0.685821,0.316931
3.47,1,0.685964,0.316931
3.475,1,0.686096,0.316931
3.48,1,0.686219,0.316931
3.485,1,0.686332,0.316931
3.49,1,0.686435,0.316931
3.495,1,0.686529,0.316931
3.5,1,0.686613,0.316931
3.505,1,0.686688,0.313387
3.51,1,0.686754,0.313387
3.515,1,0.686809,0.313387
3.52,1,0.686856,0.313387
3.525,1,0.686892,0.313387
3.53,1,0.68692,0.313387
3.535,1,0.686938,0.313387
3.54,1,0.686947,0.313387
3.545,1,0.686946,0.313387
3.55,1,0.686936,0.313387
3.555,1,0.686917,0.313387
3.56,1,0.686889,0.313387
3.565,1,0.686852,0.313387
3.57,1,0.686806,0.313387
3.575,1,0.686751,0.313387
3.58,1,0.686686,0.313387
3.585,1,0.686613,0.313387
3.59,1,0.686531,0.313387
3.595,1,0.686441,0.313387
3.6,1,0.686341,0.313387
3.605,1,0.686233,0.313659
3.61,1,0.686116,0.313659
3.615,1,0.68599,0.313659
3.62,1,0.685856,0.313659
3.625,1,0.685713,0.313659
3.63,1,0.685561,0.313659
3.635,1,0.685401,0.313659
3.64,1,0.685233,0.313659
3.645,1,0.685056,0.313659
3.65,1,0.68487,0.313659
3.655,1,0.684677,0.313659
3.66,1,0.684475,0.313659
3.665,1,0.684264,0.313659
3.67,1,0.684046,0.313659
3.675,1,0.683819,0.313659
3.68,1,0.683585,0.313659
3.685,1,0.683342,0.313659
3.69,1,0.683091,0.313659
3.695,1,0.682832,0.313659
3.7,1,0.682566,0.313659
3.705,1,0.682291,0.317434
3.71,1,0.682009,0.317434
3.715,1,0.681718,0.317434
3.72,1,0.681421,0.317434
3.725,1,0.681115,0.317434
3.73,1,0.680802,0.317434
3.735,1,0.680481,0.317434
3.74,1,0.680153,0.317434
3.745,1,0.679817,0.317434
3.75,1,0.679473,0.317434
3.755,1,0.679123,0.317434
3.76,1,0.678765,0.317434
3.765,1,0.678399,0.317434
3.77,1,0.678027,0.317434
3.775,1,0.677647,0.317434
3.78,1,0.67726,0.317434
3.785,1,0.676865,0.317434
3.79,1,0.676464,0.317434
3.795,1,0.676056,0.317434
3.8,1,0.67564,0.317434
3.805,1,0.675218,0.32436
3.81,1,0.674789,0.32436
3.815,1,0.674353,0.32436
3.82,1,0.67391,0.32436
3.825,1,0.673461,0.32436
3.83,1,0.673005,0.32436
3.835,1,0.672543,0.32436
3.84,1,0.672074,0.32436
3.845,1,0.671598,0.32436
3.85,1,0.671116,0.32436
3.855,1,0.670628,0.32436
3.86,1,0.670133,0.32436
3.865,1,0.669632,0.32436
3.87,1,0.669124,0.32436
3.875,1,0.66861,0.32436
3.88,1,0.668091,0.32436
3.885,1,0.667565,0.32436
3.89,1,0.667032,0.32436
3.895,1,0.666494,0.32436
3.9,1,0.66595,0.32436
3.905,1,0.6654,0.33405
3.91,1,0.664844,0.33405
3.915,1,0.664282,0.33405
3.92,1,0.663715,0.33405
3.925,1,0.663142,0.33405
3.93,1,0.662564,0.33405
3.935,1,0.66198,0.33405
3.94,1,0.66139,0.33405
3.945,1,0.660795,0.33405
3.95,1,0.660195,0.33405
3.955,1,0.659589,0.33405
3.96,1,0.658978,0.33405
3.965,1,0.658361,0.33405
3.97,1,0.657739,0.33405
3.975,1,0.657113,0.33405
3.98,1,0.65648,0.33405
3.985,1,0.655843,0.33405
3.99,1,0.655201,0.33405
3.995,1,0.654554,0.33405
4,1,0.653901,0.33405
4.005,1,0.653244,0.346099
4.01,1,0.652582,0.346099
4.015,1,0.651915,0.346099
4.02,1,0.651244,0.346099
4.025,1,0.650568,0.346099
4.03,1,0.649888,0.346099
4.035,1,0.649203,0.346099
4.04,1,0.648514,0.346099
4.045,1,0.647821,0.346099
4.05,1,0.647123,0.346099
4.055,1,0.64642,0.346099
4.06,1,0.645714,0.346099
4.065,1,0.645003,0.346099
4.07,1,0.644288,0.346099
4.075,1,0.643569,0.346099
4.08,1,0.642845,0.346099
4.085,1,0.642118,0.346099
4.09,1,0.641387,0.346099
4.095,1,0.640651,0.346099
4.1,1,0.639912,0.346099
4.105,1,0.639168,0.360088
4.11,1,0.638421,0.360088
4.115,1,0.637671,0.360088
4.12,1,0.636917,0.360088
4.125,1,0.636159,0.360088
4.13,1,0.635398,0.360088
4.135,1,0.634634,0.360088
4.14,1,0.633866,0.360088
4.145,1,0.633095,0.360088
4.15,1,0.632321,0.360088
4.155,1,0.631543,0.360088
4.16,1,0.630762,0.360088
4.165,1,0.629978,0.360088
4.17,1,0.629191,0.360088
4.175,1,0.6284,0.360088
4.18,1,0.627607,0.360088
4.185,1,0.62681,0.360088
4.19,1,0.62601,0.360088
4.195,1,0.625208,0.360088
4.2,1,0.624402,0.360088
4.205,1,0.623594,0.375598
4.21,1,0.622783,0.375598
4.215,1,0.62197,0.375598
4.22,1,0.621154,0.375598
4.225,1,0.620335,0.375598
4.23,1,0.619515,0.375598
4.235,1,0.618691,0.375598
4.24,1,0.617866,0.375598
4.245,1,0.617038,0.375598
4.25,1,0.616208,0.375598
4.255,1,0.615376,0.375598
4.26,1,0.614541,0.375598
4.265,1,0.613705,0.375598
4.27,1,0.612866,0.375598
4.275,1,0.612025,0.375598
4.28,1,0.611182,0.375598
4.285,1,0.610337,0.375598
4.29,1,0.609489,0.375598
4.295,1,0.60864,0.375598
4.3,1,0.607789,0.375598
4.305,1,0.606936,0.392211
4.31,1,0.606082,0.392211
4.315,1,0.605226,0.392211
4.32,1,0.604369,0.392211
4.325,1,0.60351,0.392211
4.33,1,0.60265,0.392211
4.335,1,0.601788,0.392211
4.34,1,0.600925,0.392211
4.345,1,0.600061,0.392211
4.35,1,0.599195,0.392211
4.355,1,0.598329,0.392211
4.36,1,0.597461,0.392211
4.365,1,0.596591,0.392211
4.37,1,0.595721,0.392211
4.375,1,0.59485,0.392211
4.38,1,0.593977,0.392211
4.385,1,0.593103,0.392211
4.39,1,0.592228,0.392211
4.395,1,0.591352,0.392211
4.4,1,0.590476,0.392211
4.405,1,0.589598,0.409524
4.41,1,0.58872,0.409524
4.415,1,0.587841,0.409524
4.42,1,0.586962,0.409524
4.425,1,0.586082,0.409524
4.43,1,0.585202,0.409524
4.435,1,0.584321,0.409524
4.44,1,0.58344,0.409524
4.445,1,0.582559,0.409524
4.45,1,0.581677,0.409524
4.455,1,0.580795,0.409524
4.46,1,0.579913,0.409524
4.465,1,0.57903,0.409524
4.47,1,0.578147,0.409524
4.475,1,0.577264,0.409524
4.48,1,0.57638,0.409524
4.485,1,0.575497,0.409524
4.49,1,0.574613,0.409524
4.495,1,0.573729,0.409524
4.5,1,0.572845,0.409524
4.505,1,0.571962,0.427155
4.51,1,0.571078,0.427155
4.515,1,0.570195,0.427155
4.52,1,0.569312,0.427155
4.525,1,0.56843,0.427155
4.53,1,0.567548,0.427155
4.535,1,0.566666,0.427155
4.54,1,0.565785,0.427155
4.545,1,0.564905,0.427155
4.55,1,0.564025,0.427155
4.555,1,0.563145,0.427155
4.56,1,0.562267,0.427155
4.565,1,0.561388,0.427155
4.57,1,0.560511,0.427155
4.575,1,0.559633,0.427155
4.58,1,0.558757,0.427155
4.585,1,0.557881,0.427155
4.59,1,0.557006,0.427155
4.595,1,0.556132,0.427155
4.6,1,0.555258,0.427155
4.605,1,0.554385,0.444742
4.61,1,0.553513,0.444742
4.615,1,0.552643,0.444742
4.62,1,0.551773,0.444742
4.625,1,0.550905,0.444742
4.63,1,0.550039,0.444742
4.635,1,0.549173,0.444742
4.64,1,0.548309,0.444742
4.645,1,0.547446,0.444742
4.65,1,0.546584,0.444742
4.655,1,0.545724,0.444742
4.66,1,0.544865,0.444742
4.665,1,0.544007,0.444742
4.67,1,0.543151,0.444742
4.675,1,0.542296,0.444742
4.68,1,0.541442,0.444742
4.685,1,0.54059,0.444742
4.69,1,0.539739,0.444742
4.695,1,0.53889,0.444742
4.7,1,0.538042,0.444742
4.705,1,0.537196,0.461958
4.71,1,0.536351,0.461958
4.715,1,0.535509,0.461958
4.72,1,0.534669,0.461958
4.725,1,0.53383,0.461958
4.73,1,0.532994,0.461958
4.735,1,0.532159,0.461958
4.74,1,0.531326,0.461958
4.745,1,0.530496,0.461958
4.75,1,0.529667,0.461958
4.755,1,0.528841,0.461958
4.76,1,0.528016,0.461958
4.765,1,0.527194,0.461958
4.77,1,0.526373,0.461958
4.775,1,0.525555,0.461958
4.78,1,0.524738,0.461958
4.785,1,0.523924,0.461958
4.79,1,0.523112,0.461958
4.795,1,0.522302,0.461958
4.8,1,0.521494,0.461958
